"map","file","graphics_id"
"MAP_BATTLE_FRONTIER_BATTLE_ARENA_BATTLE_ROOM","C:\Users\Zauke07\Desktop\decompsger\pokeemerald-expansion\data\maps\BattleFrontier_BattleArenaBattleRoom\map.json","OBJ_EVENT_GFX_VAR_0"
"MAP_BATTLE_FRONTIER_BATTLE_ARENA_BATTLE_ROOM","C:\Users\Zauke07\Desktop\decompsger\pokeemerald-expansion\data\maps\BattleFrontier_BattleArenaBattleRoom\map.json","OBJ_EVENT_GFX_VAR_1"
"MAP_BATTLE_FRONTIER_BATTLE_DOME_BATTLE_ROOM","C:\Users\Zauke07\Desktop\decompsger\pokeemerald-expansion\data\maps\BattleFrontier_BattleDomeBattleRoom\map.json","OBJ_EVENT_GFX_VAR_0"
"MAP_BATTLE_FRONTIER_BATTLE_DOME_BATTLE_ROOM","C:\Users\Zauke07\Desktop\decompsger\pokeemerald-expansion\data\maps\BattleFrontier_BattleDomeBattleRoom\map.json","OBJ_EVENT_GFX_VAR_1"
"MAP_BATTLE_FRONTIER_BATTLE_FACTORY_BATTLE_ROOM","C:\Users\Zauke07\Desktop\decompsger\pokeemerald-expansion\data\maps\BattleFrontier_BattleFactoryBattleRoom\map.json","OBJ_EVENT_GFX_VAR_0"
"MAP_BATTLE_FRONTIER_BATTLE_FACTORY_BATTLE_ROOM","C:\Users\Zauke07\Desktop\decompsger\pokeemerald-expansion\data\maps\BattleFrontier_BattleFactoryBattleRoom\map.json","OBJ_EVENT_GFX_VAR_F"
"MAP_BATTLE_FRONTIER_BATTLE_PALACE_BATTLE_ROOM","C:\Users\Zauke07\Desktop\decompsger\pokeemerald-expansion\data\maps\BattleFrontier_BattlePalaceBattleRoom\map.json","OBJ_EVENT_GFX_VAR_0"
"MAP_BATTLE_FRONTIER_BATTLE_PALACE_BATTLE_ROOM","C:\Users\Zauke07\Desktop\decompsger\pokeemerald-expansion\data\maps\BattleFrontier_BattlePalaceBattleRoom\map.json","OBJ_EVENT_GFX_VAR_1"
"MAP_BATTLE_FRONTIER_BATTLE_PIKE_ROOM_NORMAL","C:\Users\Zauke07\Desktop\decompsger\pokeemerald-expansion\data\maps\BattleFrontier_BattlePikeRoomNormal\map.json","OBJ_EVENT_GFX_VAR_0"
"MAP_BATTLE_FRONTIER_BATTLE_PIKE_ROOM_NORMAL","C:\Users\Zauke07\Desktop\decompsger\pokeemerald-expansion\data\maps\BattleFrontier_BattlePikeRoomNormal\map.json","OBJ_EVENT_GFX_VAR_1"
"MAP_BATTLE_FRONTIER_BATTLE_TOWER_BATTLE_ROOM","C:\Users\Zauke07\Desktop\decompsger\pokeemerald-expansion\data\maps\BattleFrontier_BattleTowerBattleRoom\map.json","OBJ_EVENT_GFX_VAR_0"
"MAP_BATTLE_FRONTIER_BATTLE_TOWER_LOBBY","C:\Users\Zauke07\Desktop\decompsger\pokeemerald-expansion\data\maps\BattleFrontier_BattleTowerLobby\map.json","OBJ_EVENT_GFX_VAR_0"
"MAP_BATTLE_FRONTIER_BATTLE_TOWER_MULTI_BATTLE_ROOM","C:\Users\Zauke07\Desktop\decompsger\pokeemerald-expansion\data\maps\BattleFrontier_BattleTowerMultiBattleRoom\map.json","OBJ_EVENT_GFX_VAR_0"
"MAP_BATTLE_FRONTIER_BATTLE_TOWER_MULTI_BATTLE_ROOM","C:\Users\Zauke07\Desktop\decompsger\pokeemerald-expansion\data\maps\BattleFrontier_BattleTowerMultiBattleRoom\map.json","OBJ_EVENT_GFX_VAR_1"
"MAP_BATTLE_FRONTIER_BATTLE_TOWER_MULTI_BATTLE_ROOM","C:\Users\Zauke07\Desktop\decompsger\pokeemerald-expansion\data\maps\BattleFrontier_BattleTowerMultiBattleRoom\map.json","OBJ_EVENT_GFX_VAR_E"
"MAP_BATTLE_FRONTIER_BATTLE_TOWER_MULTI_BATTLE_ROOM","C:\Users\Zauke07\Desktop\decompsger\pokeemerald-expansion\data\maps\BattleFrontier_BattleTowerMultiBattleRoom\map.json","OBJ_EVENT_GFX_VAR_F"
"MAP_BATTLE_FRONTIER_BATTLE_TOWER_MULTI_CORRIDOR","C:\Users\Zauke07\Desktop\decompsger\pokeemerald-expansion\data\maps\BattleFrontier_BattleTowerMultiCorridor\map.json","OBJ_EVENT_GFX_VAR_E"
