
map                                                 file                       
---                                                 ----                       
MAP_BATTLE_FRONTIER_BATTLE_ARENA_BATTLE_ROOM        C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_ARENA_BATTLE_ROOM        C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_DOME_BATTLE_ROOM         C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_DOME_BATTLE_ROOM         C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_FACTORY_BATTLE_ROOM      C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_FACTORY_BATTLE_ROOM      C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_PALACE_BATTLE_ROOM       C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_PALACE_BATTLE_ROOM       C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_PIKE_ROOM_NORMAL         C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_PIKE_ROOM_NORMAL         C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_TOWER_BATTLE_ROOM        C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_TOWER_LOBBY              C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_TOWER_MULTI_BATTLE_ROOM  C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_TOWER_MULTI_BATTLE_ROOM  C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_TOWER_MULTI_BATTLE_ROOM  C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_TOWER_MULTI_BATTLE_ROOM  C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_TOWER_MULTI_CORRIDOR     C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_TOWER_MULTI_CORRIDOR     C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_TOWER_MULTI_PARTNER_ROOM C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_TOWER_MULTI_PARTNER_ROOM C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_TOWER_MULTI_PARTNER_ROOM C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_TOWER_MULTI_PARTNER_ROOM C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_TOWER_MULTI_PARTNER_ROOM C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_TOWER_MULTI_PARTNER_ROOM C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_TOWER_MULTI_PARTNER_ROOM C:\Users\Zauke07\Desktop...
MAP_BATTLE_FRONTIER_BATTLE_TOWER_MULTI_PARTNER_ROOM C:\Users\Zauke07\Desktop...
MAP_CONTEST_HALL                                    C:\Users\Zauke07\Desktop...
MAP_CONTEST_HALL                                    C:\Users\Zauke07\Desktop...
MAP_CONTEST_HALL                                    C:\Users\Zauke07\Desktop...
MAP_CONTEST_HALL                                    C:\Users\Zauke07\Desktop...
MAP_CONTEST_HALL                                    C:\Users\Zauke07\Desktop...
MAP_CONTEST_HALL                                    C:\Users\Zauke07\Desktop...
MAP_CONTEST_HALL                                    C:\Users\Zauke07\Desktop...
MAP_CONTEST_HALL                                    C:\Users\Zauke07\Desktop...
MAP_CONTEST_HALL                                    C:\Users\Zauke07\Desktop...
MAP_CONTEST_HALL                                    C:\Users\Zauke07\Desktop...
MAP_CONTEST_HALL                                    C:\Users\Zauke07\Desktop...
MAP_EVER_GRANDE_CITY_CHAMPIONS_ROOM                 C:\Users\Zauke07\Desktop...
MAP_FALLARBOR_TOWN_BATTLE_TENT_BATTLE_ROOM          C:\Users\Zauke07\Desktop...
MAP_FALLARBOR_TOWN_BATTLE_TENT_BATTLE_ROOM          C:\Users\Zauke07\Desktop...
MAP_LAVARIDGE_TOWN                                  C:\Users\Zauke07\Desktop...
MAP_LAVARIDGE_TOWN                                  C:\Users\Zauke07\Desktop...
MAP_LILYCOVE_CITY                                   C:\Users\Zauke07\Desktop...
MAP_LILYCOVE_CITY_POKEMON_CENTER_1F                 C:\Users\Zauke07\Desktop...
MAP_LILYCOVE_CITY_POKEMON_CENTER_1F                 C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN                                 C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_BRENDANS_HOUSE_1F               C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_BRENDANS_HOUSE_2F               C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_BRENDANS_HOUSE_2F               C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_BRENDANS_HOUSE_2F               C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_BRENDANS_HOUSE_2F               C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_BRENDANS_HOUSE_2F               C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_BRENDANS_HOUSE_2F               C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_BRENDANS_HOUSE_2F               C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_BRENDANS_HOUSE_2F               C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_BRENDANS_HOUSE_2F               C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_BRENDANS_HOUSE_2F               C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_BRENDANS_HOUSE_2F               C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_BRENDANS_HOUSE_2F               C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_BRENDANS_HOUSE_2F               C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_MAYS_HOUSE_1F                   C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_MAYS_HOUSE_2F                   C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_MAYS_HOUSE_2F                   C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_MAYS_HOUSE_2F                   C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_MAYS_HOUSE_2F                   C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_MAYS_HOUSE_2F                   C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_MAYS_HOUSE_2F                   C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_MAYS_HOUSE_2F                   C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_MAYS_HOUSE_2F                   C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_MAYS_HOUSE_2F                   C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_MAYS_HOUSE_2F                   C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_MAYS_HOUSE_2F                   C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_MAYS_HOUSE_2F                   C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_MAYS_HOUSE_2F                   C:\Users\Zauke07\Desktop...
MAP_LITTLEROOT_TOWN_PROFESSOR_BIRCHS_LAB            C:\Users\Zauke07\Desktop...
MAP_MAUVILLE_CITY_POKEMON_CENTER_1F                 C:\Users\Zauke07\Desktop...
MAP_MOSSDEEP_CITY_GAME_CORNER_B1F                   C:\Users\Zauke07\Desktop...
MAP_OLDALE_TOWN                                     C:\Users\Zauke07\Desktop...
MAP_ROUTE103                                        C:\Users\Zauke07\Desktop...
MAP_ROUTE104                                        C:\Users\Zauke07\Desktop...
MAP_ROUTE110                                        C:\Users\Zauke07\Desktop...
MAP_ROUTE110                                        C:\Users\Zauke07\Desktop...
MAP_ROUTE111                                        C:\Users\Zauke07\Desktop...
MAP_ROUTE117                                        C:\Users\Zauke07\Desktop...
MAP_ROUTE117                                        C:\Users\Zauke07\Desktop...
MAP_ROUTE119                                        C:\Users\Zauke07\Desktop...
MAP_ROUTE119                                        C:\Users\Zauke07\Desktop...
MAP_RUSTBORO_CITY                                   C:\Users\Zauke07\Desktop...
MAP_SECRET_BASE_BLUE_CAVE1                          C:\Users\Zauke07\Desktop...
MAP_SECRET_BASE_BLUE_CAVE1                          C:\Users\Zauke07\Desktop...
MAP_SECRET_BASE_BLUE_CAVE1                          C:\Users\Zauke07\Desktop...
MAP_SECRET_BASE_BLUE_CAVE1                          C:\Users\Zauke07\Desktop...
